min_distance_depot,average_distance_depot,max_distance_depot,min_distance_nondepot,average_distance_nondepot,max_distance_nondepot,min_demand,average_demand,max_demand,num_customers,vehicle_capacity,best_objective_value,computational_time
91,436.3389831,802,8,493.4389246,1105,31,60.94915254,99,59,500,21261,8.806955099
54,413.92,597,30,525.5533333,1139,33,65.16,100,25,300,9651,3.962729931
45,448.45,1014,52,542.2421053,1336,31,63.9,100,20,300,7739,2.678465128
10,341.6105263,747,9,477.5072788,1344,31,62.77894737,100,95,500,34041,7.736566782
31,440.6,919,8,521.9196078,1197,32,67.03529412,99,85,300,40630,8.470772028
84,622.1311475,1082,10,523.8699454,1256,30,65.45901639,100,61,400,30691,4.1076684
46,517.8888889,894,10,515.8169113,1214,31,67.05555556,100,54,500,22486,3.692886353
64,512.902439,973,8,540.5609756,1287,30,68.30487805,100,82,300,41999,5.427890778
294,637.5,1002,31,552.1978022,1039,33,67.78571429,98,14,300,7027,1.40719223
43,551.7613636,1119,13,480.7155172,1184,31,65.45454545,100,88,300,44639,7.762573481
50,673,1293,91,552.1818182,1321,36,62.25,96,12,400,4446,1.395199537
11,595.7910448,1146,17,505.9086386,1253,31,63.68656716,99,67,300,35395,4.371478081
116,454.9333333,836,53,523.7494253,1263,32,66.06666667,95,30,500,10621,2.334659815
101,608.4255319,1120,15,532.9537465,1287,30,64.72340426,98,47,400,20961,3.317099094
162,439.1538462,824,118,487.1153846,866,38,71.38461538,95,13,500,4050,1.437174559
36,420.2058824,780,16,536.2129061,1293,31,62.51470588,100,68,500,27395,4.332499504
37,508.875,1021,21,550.3814484,1312,30,66.03125,96,64,400,28905,4.217565536
18,432.9292929,923,6,514.9107401,1302,30,61.60606061,100,99,300,46152,6.32537818
56,479.6969697,882,53,498.4640152,1172,33,71.51515152,99,33,400,12439,2.526531696
49,555.7931034,952,12,526.8561882,1249,31,67.7816092,99,87,300,46627,5.515839577
19,520.2159091,1014,8,527.0208986,1349,30,68.23863636,100,88,500,41129,6.107500553
101,415.6101695,825,8,512.5032145,1232,31,61.81355932,96,59,400,22058,3.789827585
27,553.6666667,1013,12,531.5501253,1145,30,69.36842105,100,57,300,30165,3.899785995
50,702.5243902,1291,13,528.1114122,1278,30,68.70731707,100,82,500,39969,5.303963661
86,422.6133333,805,22,509.4468468,1260,33,70.61333333,100,75,500,33025,5.086087704
300,584.0714286,847,88,542.6703297,1069,38,62.71428571,94,14,300,6357,1.60108161
34,512.0714286,915,14,535.4308943,1269,30,63.02380952,100,42,300,19590,2.952307701
74,436.7340426,853,4,524.1672386,1262,33,65.35106383,100,94,500,40038,5.84966898
153,562.8421053,966,24,593.7602339,1125,31,68.42105263,100,19,300,8363,1.93888855
136,663.9677419,1046,17,524.3290323,1187,32,70.22580645,100,31,400,13505,2.51553607
39,400.8295455,932,4,511.0974399,1244,30,65.27272727,100,88,500,35643,5.397907734
84,514.962963,945,34,531.8632479,1132,31,70.07407407,100,27,500,9972,2.097738504
101,614.3076923,1021,13,537.3642534,1223,30,61.88461538,100,52,500,21560,3.781833172
61,364.4166667,651,16,518.4130435,1184,33,63.375,98,24,400,7591,2.007845402
132,552.7105263,962,11,580.0896159,1198,32,60.13157895,99,38,500,14448,3.02928257
107,467.5,823,22,543.0615385,1189,32,63.69230769,100,26,300,9769,2.312671423
131,430.32,618,37,562.8733333,1108,37,71.8,100,25,400,8600,2.164760113
86,424.6,701,30,524.6268908,1181,30,65.97142857,100,35,400,12316,2.686458588
154,402.8846154,593,28,543.4030769,1068,30,65.76923077,100,26,400,8885,2.10777235
111,693.9508197,1201,5,522.6661202,1195,31,66.21311475,98,61,500,28062,4.033708334
94,702.1971831,1271,10,508.8519115,1233,30,66.26760563,97,71,300,41089,4.610357285
141,674.1216216,1104,5,515.3187708,1218,30,65.58108108,100,74,500,34771,4.717297554
89,459.2075472,951,12,500.3113208,1194,30,67.16981132,100,53,400,23092,3.565959692
